Country,"2 013,00","2 014,00","2 015,00","2 016,00","2 017,00","2 018,00","2 019,00","2 020,00","2 021,00","2 022,00","2 023,00"
Nigeria,"587,00","572,00","558,00","537,00","525,00","522,00","523,00","523,00","554,00","570,00","617,00"
Ouganda,"204,00","215,00","194,00","187,00","177,00","163,00","159,00","154,00","165,00","180,00","188,00"
République dém. du Congo (-Kinshasa) ,"1 305,00","1 307,00","1 305,00","1 289,00","1 262,00","1 264,00","1 262,00","1 271,00","1 291,00","1 297,00","1 315,00"
République du Congo (-Brazzaville),"137,00","127,00","105,00","93,00","83,00","79,00","75,00","77,00","85,00","88,00","85,00"
Rwanda,"154,00","159,00","164,00","147,00","126,00","120,00","131,00","129,00","138,00","149,00","150,00"
Sahara Occidental,-,-,-,-,-,-,-,-,-,-,-
Sao Tome-et-Principe,( ),( ),( ),( ),( ),( ),( ),( ),( ),"3,00","3,00"
Sénégal,"617,00","619,00","618,00","614,00","621,00","647,00","653,00","657,00","658,00","681,00","733,00"
Seychelles (Iles),"14,00","13,00","12,00","11,00","11,00","12,00","11,00","12,00","13,00","11,00","11,00"
Sierra Leone,"53,00","50,00","59,00","53,00","46,00","47,00","48,00","46,00","47,00","52,00","65,00"
Somalie,"753,00","751,00","771,00","762,00","738,00","707,00","681,00","659,00","688,00","717,00","719,00"
Soudan,"213,00","230,00","216,00","219,00","204,00","199,00","198,00","214,00","211,00","213,00","216,00"
Soudan du sud (Rèp. du),-,-,"24,00","23,00","24,00","22,00","24,00","24,00","24,00","20,00","24,00"
Swaziland,"22,00","24,00","25,00","25,00","25,00","29,00","31,00","31,00","26,00","20,00","16,00"
Tanzanie,"151,00","161,00","166,00","164,00","160,00","163,00","156,00","153,00","140,00","153,00","142,00"
Tchad,"60,00","54,00","60,00","55,00","55,00","39,00","35,00","39,00","40,00","40,00","35,00"
Togo,"358,00","355,00","352,00","354,00","339,00","330,00","342,00","350,00","355,00","346,00","351,00"
Tunisie,"1 564,00","1 583,00","1 627,00","1 631,00","1 630,00","1 621,00","1 620,00","1 595,00","1 626,00","1 639,00","1 643,00"
Zambie,"70,00","79,00","85,00","84,00","87,00","81,00","87,00","88,00","78,00","78,00","86,00"
Zimbabwe,"130,00","140,00","130,00","127,00","131,00","124,00","120,00","126,00","138,00","161,00","166,00"
Asie,"16 131,00","16 722,00","17 737,00","17 914,00","18 014,00","18 241,00","18 923,00","19 354,00","20 230,00","21 114,00","22 085,00"
Afghanistan,"524,00","545,00","879,00","948,00","980,00","997,00","1 067,00","1 170,00","1 373,00","1 740,00","2 126,00"
Arabie Saoudite,"263,00","266,00","287,00","272,00","285,00","255,00","259,00","229,00","232,00","231,00","223,00"
Arménie,"224,00","217,00","214,00","209,00","208,00","205,00","213,00","213,00","207,00","206,00","208,00"
Azerbaïdjan,"214,00","223,00","243,00","261,00","242,00","240,00","250,00","270,00","269,00","253,00","270,00"
Bahrein,"20,00","18,00","23,00","24,00","21,00","20,00","14,00","14,00","15,00","16,00","15,00"
